Values,Timestamp
100,26-06-2024 06:17
100,26-06-2024 06:18
100,26-06-2024 06:18
100,26-06-2024 06:18
100,26-06-2024 06:19
100,26-06-2024 06:19
100,26-06-2024 09:29
100,26-06-2024 09:29
100,26-06-2024 09:29
100,26-06-2024 09:29
100,26-06-2024 09:29
100,26-06-2024 09:30
100,26-06-2024 09:30
100,26-06-2024 09:30
100,26-06-2024 09:31
100,26-06-2024 09:31
100,26-06-2024 09:31
100,26-06-2024 09:31
100,26-06-2024 09:32
100,26-06-2024 09:32
100,26-06-2024 09:32
100,26-06-2024 09:32
100,26-06-2024 09:32
100,26-06-2024 09:33
100,26-06-2024 09:33
100,26-06-2024 09:33
100,26-06-2024 09:34
100,26-06-2024 09:34
100,26-06-2024 09:34
100,26-06-2024 09:34
100,26-06-2024 09:35
100,26-06-2024 09:35
100,26-06-2024 09:35
100,26-06-2024 09:35
100,26-06-2024 09:35
100,26-06-2024 09:36
99,26-06-2024 09:36
99,26-06-2024 09:36
99,26-06-2024 09:37
99,26-06-2024 09:37
99,26-06-2024 09:37
99,26-06-2024 09:37
99,26-06-2024 09:38
99,26-06-2024 09:38
99,26-06-2024 09:38
99,26-06-2024 09:38
99,26-06-2024 09:38
99,26-06-2024 09:39
99,26-06-2024 09:39
99,26-06-2024 09:39
99,26-06-2024 09:40
99,26-06-2024 09:40
99,26-06-2024 09:40
99,26-06-2024 09:40
99,26-06-2024 09:41
99,26-06-2024 09:41
99,26-06-2024 09:41
99,26-06-2024 09:41
99,26-06-2024 09:42
99,26-06-2024 09:42
98,26-06-2024 09:42
98,26-06-2024 09:42
98,26-06-2024 09:43
98,26-06-2024 09:43
98,26-06-2024 09:43
98,26-06-2024 09:43
98,26-06-2024 09:43
98,26-06-2024 09:44
98,26-06-2024 09:44
98,26-06-2024 09:44
98,26-06-2024 09:45
98,26-06-2024 09:45
98,26-06-2024 09:45
98,26-06-2024 09:45
98,26-06-2024 09:46
98,26-06-2024 09:46
98,26-06-2024 09:46
98,26-06-2024 09:46
98,26-06-2024 09:46
98,26-06-2024 09:47
98,26-06-2024 09:47
98,26-06-2024 09:47
98,26-06-2024 09:48
98,26-06-2024 09:48
98,26-06-2024 09:48
98,26-06-2024 09:48
98,26-06-2024 09:49
98,26-06-2024 09:49
98,26-06-2024 09:49
98,26-06-2024 09:49
98,26-06-2024 09:49
98,26-06-2024 09:50
98,26-06-2024 09:50
98,26-06-2024 09:50
98,26-06-2024 09:51
98,26-06-2024 09:51
98,26-06-2024 09:51
98,26-06-2024 09:51
98,26-06-2024 09:52
98,26-06-2024 09:52
98,26-06-2024 09:52
98,26-06-2024 09:52
98,26-06-2024 09:52
98,26-06-2024 09:53
98,26-06-2024 09:53
98,26-06-2024 09:53
98,26-06-2024 09:54
98,26-06-2024 09:54
98,26-06-2024 09:54
98,26-06-2024 09:54
98,26-06-2024 09:54
98,26-06-2024 09:55
98,26-06-2024 09:55
98,26-06-2024 09:55
98,26-06-2024 09:56
98,26-06-2024 09:56
98,26-06-2024 09:56
98,26-06-2024 09:56
98,26-06-2024 09:57
98,26-06-2024 09:57
97,26-06-2024 09:57
98,26-06-2024 09:57
98,26-06-2024 09:57
98,26-06-2024 09:58
98,26-06-2024 09:58
97,26-06-2024 09:58
97,26-06-2024 09:59
97,26-06-2024 09:59
97,26-06-2024 09:59
97,26-06-2024 09:59
97,26-06-2024 10:00
97,26-06-2024 10:00
97,26-06-2024 10:00
97,26-06-2024 10:00
97,26-06-2024 10:00
97,26-06-2024 10:01
97,26-06-2024 10:01
97,26-06-2024 10:01
97,26-06-2024 10:02
97,26-06-2024 10:02
97,26-06-2024 10:02
97,26-06-2024 10:02
97,26-06-2024 10:03
97,26-06-2024 10:03
97,26-06-2024 10:03
97,26-06-2024 10:03
97,26-06-2024 10:03
97,26-06-2024 10:04
97,26-06-2024 10:04
97,26-06-2024 10:04
97,26-06-2024 10:05
97,26-06-2024 10:05
97,26-06-2024 10:05
97,26-06-2024 10:05
97,26-06-2024 10:05
97,26-06-2024 10:06
97,26-06-2024 10:06
97,26-06-2024 10:06
97,26-06-2024 10:07
97,26-06-2024 10:07
97,26-06-2024 10:07
97,26-06-2024 10:07
97,26-06-2024 10:08
97,26-06-2024 10:08
97,26-06-2024 10:08
97,26-06-2024 10:08
97,26-06-2024 10:08
97,26-06-2024 10:09
97,26-06-2024 10:09
97,26-06-2024 10:09
97,26-06-2024 10:10
97,26-06-2024 10:10
97,26-06-2024 10:10
97,26-06-2024 10:10
96,26-06-2024 10:11
96,26-06-2024 10:11
96,26-06-2024 10:11
96,26-06-2024 10:11
96,26-06-2024 10:11
96,26-06-2024 10:12
96,26-06-2024 10:12
96,26-06-2024 10:12
96,26-06-2024 10:13
96,26-06-2024 10:13
96,26-06-2024 10:13
96,26-06-2024 10:13
96,26-06-2024 10:14
96,26-06-2024 10:14
96,26-06-2024 10:14
96,26-06-2024 10:14
96,26-06-2024 10:14
96,26-06-2024 10:15
96,26-06-2024 10:15
96,26-06-2024 10:15
